student_id,category,location,text
STU-101,Academics,Main Block,The new AI curriculum is very comprehensive and exciting.
STU-102,Facilities,Library,We need more quiet zones in the library during exam weeks.
STU-103,Hostel,Hostel A,The laundry service in Hostel A is always on time.
STU-104,Sports,Sports Complex,The swimming pool water is not clean enough.
STU-105,Placements,Main Block,Mock interviews were incredibly helpful for my actual interview.
STU-106,Canteen,Canteen,The hygiene in the canteen could be improved during lunch hours.
STU-107,Academics,Main Block,Math professors are taking extra classes which is very helpful.
STU-108,Facilities,Main Block,The elevators in the main block are often under maintenance.
STU-109,Hostel,Hostel B,Vending machines in Hostel B are out of stock most of the time.
STU-110,Sports,Sports Complex,The indoor gym equipment is state-of-the-art.
STU-111,Placements,Main Block,Need more industrial visit opportunities for civil engineering.
STU-112,Canteen,Canteen,The evening snacks are too oily; please provide healthier options.
STU-113,Academics,Library,The library staff is very supportive in finding research papers.
STU-114,Facilities,Sports Complex,Floodlights for the football ground are frequently flickering.
STU-115,Hostel,Hostel A,Hot water supply in the mornings is inconsistent.
STU-116,Sports,Sports Complex,The table tennis boards need replacement.
STU-117,Placements,Main Block,Coding bootcamps helped me secure a job at a top tech firm.
STU-118,Canteen,Canteen,The coffee at the canteen is the best part of my morning!
STU-119,Academics,Main Block,The lab equipment for physics is outdated.
STU-120,Facilities,Library,Air conditioning in the reading room is too cold.
STU-121,Hostel,Hostel B,The common room is a great place to socialize.
STU-122,Sports,Sports Complex,Cricket practice nets are always occupied; need more nets.
STU-123,Placements,Main Block,Resume building workshops were slightly repetitive.
STU-124,Canteen,Canteen,Prices for lunch meals are very affordable for students.
STU-125,Academics,Main Block,The guest lectures from industry experts were inspiring.
STU-126,Facilities,Hostel A,Bathroom light sensors are not working.
STU-127,Hostel,Hostel B,Security guards are very professional and helpful.
STU-128,Sports,Sports Complex,The yoga sessions in the morning are highly refreshing.
STU-129,Placements,Main Block,Soft skills training should be made mandatory for all years.
STU-130,Canteen,Canteen,Wait times for ordering food are too long during peak hours.
